title	summary
트럼프 ‘3500억달러 선불’ 폭탄… 월요일 주가·환율 커지는 공포감	도널드 트럼프 대통령의 ‘3500억달러 지급’ 발언에 코스피도 휘청였다. 예상보다 견조한 미국 경제지표에 급격한 외화 유출 불안까지 커.. 디지털타임스 | 2025-09-28 17:36:00
청산 앞둔 스팩이 돈 되네…'짝'만 찾아도 수익률 잭팟	스팩(SPAC·기업인수목적회사)이 수익성과 안정성을 동시에 갖춘 투자 상품으로 주목받고 있다. 상장폐지가 임박한 스팩을 적정 가격에 매.. 한국경제 | 2025-09-28 17:27:11
희토류·팔라듐 ETF 선두…양자컴도 10%대 상승	지난 한 주 희토류와 팔라듐 등 금속 관련 상장지수펀드(ETF)가 뛰어난 성과를 낸 것으로 나타났다. 시장별로는 미국과 중국 종목을 담.. 한국경제 | 2025-09-28 17:23:12
"""달바글로벌, 반전 카드는 4분기 실적"""	올 상반기 ‘기업공개(IPO) 대어’였던 달바글로벌 주가가 기대에 못 미친 2분기 실적 발표 후 급락한 뒤 부진한 흐름을 이어가고 있다.. 한국경제 | 2025-09-28 17:22:11
"""美 견제가 기술 내재화 자극…중국 주식, 지금이 투자 적기"""	“지금은 중국 주식 투자 비중을 늘릴 때입니다.” 최설화 메리츠증권 연구원(사진)은 28일 한국경제신문과의 인터뷰에서 “미국의 견제가 .. 한국경제 | 2025-09-28 17:22:09
코스피 10% 뛰었는데…개인, 반도체 팔고 증시 떠났다	올해 3분기 코스피가 10% 넘게 오르며 사상 최고치를 향해 달렸지만, 개인 투자자들은 역대 최대 규모의 매도 행진을 벌이며 국내 증시.. 이데일리 | 2025-09-28 17:17:21
"'국자원 화재' 증권가는…""운전면허증 없으면 복구 기다리세요"""	정부 서비스를 대거 멈추게 한 국가정보자원관리원(국자원) 화재를 놓고 증권가도 대응에 나섰다. 주식 거래엔 큰 영향이 없는 반면 신규 .. 한국경제 | 2025-09-28 17:16:09
[속보] 국자원 화재에…주식 매매 차질 '우려'	국가정보자원관리원(국자원) 화재 사고로 국내 증권사들의 비대면 계좌 개설 등 업무에 차질이 일고 있다. 금융투자업계가 긴급 현황 점검을.. 한국경제TV | 2025-09-28 17:12:18
美 LNG선 발주 본격화… SK證 “조선업 ‘비중 확대’ 의견 유지”	미국 액화천연가스(LNG) 프로젝트가 확대되면서 이를 운송하기 위한 LNG운반선 발주도 본격화할 것이란 전망이 나왔다. 한승한 SK증권.. 조선비즈 | 2025-09-28 17:01:10
"지니언스 ""美 공략 강화…사이버보안 빅2 될 것"""	“미국 사이버 보안 시장을 공략해 3년 내 글로벌 네트워크 접근 제어(NAC) 업계의 빅2가 되겠습니다.” 코스닥시장 상장사인 지니언스.. 한국경제 | 2025-09-28 16:58:14
추석 이후 IPO 봇물 터진다 … 핑크퐁 등 12곳 출격	노타·이노테크·그린광학 등 내달 줄줄이 수요예측 나서 한동안 한산하던 공모주 시장이 추석 연휴 이후 활기를 되찾을 전망이다. 연휴 이후.. 매일경제 | 2025-09-28 16:32:19
AI부터 수처리기업까지 … 신한證 글로벌투자 가속	美애드테크 투자 2.5배 수익 韓기업 해외 지분투자 지원 신한투자증권이 해외 유망 기업에 대해 발 빠른 투자에 나서고 있다. 28일 금.. 매일경제 | 2025-09-28 16:32:12
대형주 뛸때 … 소형주는 남몰래 눈물	양극화 심화하는 국내 증시 코스피 2700→3400 오를때 소형주는 7% 상승에 그쳐 대형주 쏠림에 거래가뭄까지 자금난에 주주환원 여력.. 매일경제 | 2025-09-28 16:32:09
“코스피 올라도 못 믿어”…李 정부 출범 이후 개인 18조 순매도	이재명 정부 출범 이후 코스피가 25% 이상 올랐지만, 개인 투자자들은 6월 이후 꾸준히 국내 주식을 팔아 치우고 있는 것으로 나타났다.. 디지털타임스 | 2025-09-28 16:32:08
“운전면허증만 가능” 증권사, 국가 전산 화재로 비대면계좌 개설 제한	국가 전산시스템 화재 여파로 증권사 비대면 계좌개설 등 온라인 서비스가 일부 중단됐다. 행정안전부 신분증 진위 확인 시스템이 마비되면서.. 디지털타임스 | 2025-09-28 16:22:46
"""자본시장 IT 시스템 큰 영향 없어""…거래소, 국자원 화재 긴급점검 결과 발표"	한국거래소는 국가정보자원관리원 화재와 관련해 “자본시장 IT 시스템은 큰 영향 없이 정상적인 서비스 제공이 가능하다”고 28일 밝혔다... 서울경제 | 2025-09-28 16:15:10
거래소 “국정자원 화재, 자본 시장 IT 시스템에 큰 영향 없어”	대전 국가정보자원관리원(국정자원) 화재 사고로 한국거래소와 코스콤이 자본시장 정보기술(IT) 시스템에 대한 긴급 합동점검을 진행한 결과.. 조선비즈 | 2025-09-28 16:11:09
거래소·코스콤 “자본시장 전산 차질 없다”…합동비상대책반 가동	한국거래소와 코스콤은 국가자원관리원 화재에도 자본시장 IT 시스템은 정상적으로 가동되고 있다고 밝혔다. 다만 코스콤 인증서비스의 비대면.. 디지털타임스 | 2025-09-28 16:04:36
3400선 이탈한 코스피, 연휴 앞두고 관망세 짙어질듯[마켓 ING]	코스피가 5주만에 하락 전환했다. 지난 26일 2%대 급락세를 보이며 코스피는 10거래일 만에 3400선 아래로 내려왔다. 긴 추석 연.. 아시아경제 | 2025-09-28 15:57:49
코스피보다 5.6%p 더 번다… 탄소 줄이고 수익률 올리는 'K-녹색지수'	저탄소 기업으로 구성한 '한국형 기후 벤치마크 지수' 수익률이 코스피보다 최대 5.6%포인트 높을 수 있다는 한국은행 분석이 나왔다. .. 한국일보 | 2025-09-28 15:41:09
"""업데이트 안 할래요""…카카오 민심 잘 반영한 '이 리포트'"	머니투데이 증권부가 선정한 9월 넷째주(22일~26일) 베스트리포트는 총 3건입니다. 노근창 현대차증권 리서치센터장이 삼성전자에 대해 .. 머니투데이 | 2025-09-28 15:22:19
국자원 화재에 증권사 비대면 계좌개설도 차질	국가정보자원관리원 화재 사고의 여파로 국내 증권사들도 비대면 계좌 개설 등 일부 업무에도 차질이 생긴 것으로 파악됐다. 장이 열리는 2.. 서울경제 | 2025-09-28 15:19:09
DB證 “삼성전기, AI 수혜 지속… 목표가 24만원으로 상향”	DB투자증권은 삼성전기가 인공지능(AI) 서버용 적층세라믹커패시터(MLCC) 수요에 힘입어 성장세를 이어갈 것으로 28일 전망했다. D.. 조선비즈 | 2025-09-28 14:35:08
금융권 비대면 대출심사·계좌개설 등 차질…고객 혼란 불가피	"5대 금융, 위기 대응 체계 가동…""급한 업무 대면으로"" 신호경 한지훈 국가정보자원관리원 화재 사고로 은행권 비대면 계좌개설, 대출 심.. 연합뉴스 | 2025-09-28 14:24:10"
라인메탈, 주가 올해 3배 뛰었는데… UBS “20% 더 간다”	독일 방산 기업 라인메탈(RHM) 주가가 올해 들어 3배 넘게 뛴 가운데 글로벌 투자은행(IB) UBS가 목표주가를 추가로 상향 조정했.. 조선비즈 | 2025-09-28 14:24:07
"""우리가 대신 일할게요"" 주 4.5일제 노란봉투 여파에 로봇ETF '함박웃음'"	최근 주 4.5일제 논의, 저출산, 인구 고령화 등으로 인한 노동력 감소를 로봇이 대체할 것으로 예상되면서 로봇 관련 ETF의 수익률이.. 파이낸셜뉴스 | 2025-09-28 14:17:10
"""코스피도 잘 가는데""… 개미들, 미장 ETF만 골라 담는다"	국내 상장지수펀드(ETF) 시장에서 개인 투자자들의 '미장(미국 증시)' 편식이 이어지고 있다. 국내 증시가 올해 가파른 상승세를 보이.. 파이낸셜뉴스 | 2025-09-28 14:08:10
코스피는 질주, 현대차는 제자리...관세 발목에 반등 언제쯤	현대차 주가가 관세 충격 여파로 국내 증시 상승장에서 소외되고 있다. 올 들어 코스피가 40% 오르는 동안 현대차는 단 1% 오르는 데.. 파이낸셜뉴스 | 2025-09-28 14:02:10
"천당과 지옥 오간 국내증시…""추석연휴 전 팔까, 살까"" 해답은?"	추석 연휴를 앞두고 코스피가 사상 최고점을 찍은 뒤 2% 넘게 급락하자 투자자들 사이에서 불안감이 커진다. 증권가는 관세, 고평가 우려.. 머니투데이 | 2025-09-28 13:46:39
‘연휴·셧다운’ 변수…코스피, 고평가 부담 속 3200~3500 등락 전망 [주간 증시 전망]	국내 증시는 추석 연휴를 앞두고 미국 개인소비지출(PCE) 물가지표와 연방정부 셧다운 우려 등 불확실성 부각으로 단기 변동성 확대가 예.. 파이낸셜뉴스 | 2025-09-28 13:40:12
‘양자컴퓨팅·원자재’ ETF 강세…증권 ETF는 부진 [ETF 스퀘어]	국내 상장지수펀드(ETF) 시장에서 양자컴퓨팅과 원자재 관련 상품이 강세를 보인 반면, 증권 업종 ETF는 하락세를 나타냈다. 전문가들.. 파이낸셜뉴스 | 2025-09-28 13:38:13
연내 IMA 인가 결론…'1호 IMA' 타이틀 주인공은	금융당국이 연내 종합투자계좌(IMA) 사업 인가 심사를 마무리할 것으로 예상되면서, '1호 IMA' 타이틀의 주인공에 시장의 관심이 집.. 뉴시스 | 2025-09-28 12:00:00
LG씨앤에스, 파라다이스, 아세아… 삼성證이 꼽은 코스피200 신규 편입 예상 종목	코스닥150, 하반기 정기 변경서 11종목 교체 전망 코스피200지수의 올해 하반기 정기 변경 때 LG씨앤에스, 파라다이스, 아세아가 .. 조선비즈 | 2025-09-28 11:29:10
ETF 투자 엇갈린 개인과 기관…개미, 하락 베팅에 ‘참패’	올해 3분기 국내 상장지수펀드(ETF) 시장에서 개인 투자자와 기관의 투자 전략이 정반대로 갈린 상황에 결과적으로 국내 증시 하락에 베.. 이데일리 | 2025-09-28 11:28:11
개미, '곱버스' 베팅하더니…기관과 엇갈린 3분기 ETF 성적표 [이런국장 저런주식]	올해 3분기 상장지수펀드(ETF) 시장에서 개인과 기관 투자자가 정반대 매매 전략을 펼친 가운데 결과는 개인의 ‘참패’로 나타났다. 2.. 서울경제 | 2025-09-28 11:18:11
올 3분기 코스피 10% 올랐지만…개인은 17兆 ‘역대급’ 순매도	코스피가 올 3분기 고공 행진을 이어갔지만, 개인 투자자들은 오히려 역대 최대 규모의 매도 행진을 벌이며 국내 증시를 떠난 것으로 나타.. 이데일리 | 2025-09-28 11:04:11
“신작이 효자”…살아나는 게임株	올해 국내 증시 상승장에서 소외됐던 게임주가 부활 조짐을 보이고 있다. 게임사들의 잇단 신작 출시를 앞두고 시장의 기대감이 높아지고 있.. 이데일리 | 2025-09-28 11:03:11
신고가 찍었던 KCC…자사주 소각대신 EB 발행에 6일연속 하락	정부가 기업이 보유한 자사주 소각을 골자로 한 3차 상법개정안 추진을 본격화한 가운데 KCC가 자사주를 기초로 EB(교환사채)를 발행하.. 머니투데이 | 2025-09-28 11:00:16
